"","marker","patient_id","group","Expression","signif","marker_title"
"382","DNA1","RPs144B","RP",3.12717531096133,"***","DNA1 ***"
"383","DNA1","RPs097B","MP",2.1548457139789,"***","DNA1 ***"
"384","DNA1","RPs097B","RP",3.25928333428445,"***","DNA1 ***"
"385","DNA1","RPs098B","MP",2.40102809811073,"***","DNA1 ***"
"386","DNA1","RPs098B","RP",3.5950577576929,"***","DNA1 ***"
"387","DNA1","RPs103B","MP",2.01758388019681,"***","DNA1 ***"
"388","DNA1","RPs103B","RP",2.93628146805864,"***","DNA1 ***"
"389","DNA1","RPS111B","MP",2.41228948810781,"***","DNA1 ***"
"390","DNA1","RPS111B","RP",3.49983267257641,"***","DNA1 ***"
"391","DNA1","RPS136B","MP",2.6455944072194,"***","DNA1 ***"
"392","DNA1","RPS136B","RP",3.8041139677567,"***","DNA1 ***"
"393","DNA1","RPs150B","MP",2.40911785198177,"***","DNA1 ***"
"394","DNA1","RPs150B","RP",3.49145906464866,"***","DNA1 ***"
"395","DNA1","RPs154B","MP",2.46552021016756,"***","DNA1 ***"
"396","DNA1","RPs154B","RP",3.52882124678993,"***","DNA1 ***"
"397","DNA2","RPs137B","MP",2.90102797131583,"***","DNA2 ***"
"398","DNA2","RPs137B","RP",4.10943718202452,"***","DNA2 ***"
"399","DNA2","RPs138B","MP",3.068848744815,"***","DNA2 ***"
"400","DNA2","RPs138B","RP",4.43614378725921,"***","DNA2 ***"
"401","DNA2","RPs139B","MP",2.32076654090554,"***","DNA2 ***"
"402","DNA2","RPs139B","RP",3.61106565690874,"***","DNA2 ***"
"403","DNA2","RPs144B","MP",2.60104987050121,"***","DNA2 ***"
"404","DNA2","RPs144B","RP",3.86795690796841,"***","DNA2 ***"
"405","DNA2","RPs097B","MP",2.72633741519921,"***","DNA2 ***"
"406","DNA2","RPs097B","RP",3.9885302434374,"***","DNA2 ***"
"407","DNA2","RPs098B","MP",2.96182950949825,"***","DNA2 ***"
"408","DNA2","RPs098B","RP",4.32838248150252,"***","DNA2 ***"
